title,totalTime,ingredients,instructions,image
Keema Aloo (Ground Beef and Potatoes),80,"['2 tablespoons extra-virgin olive oil', '1 extra-large Spanish onion, chopped', '2 tablespoons water (optional)', '2 pounds lean ground beef', '4 cloves garlic, minced', '2 tablespoons grated fresh ginger root', '1 serrano chile pepper, finely chopped', '2 teaspoons chopped fresh cilantro', '1 tablespoon ground coriander', '1 1/2 teaspoons salt', '1 1/2 teaspoons ground cumin', '1 teaspoon ground cayenne pepper', '1 teaspoon ground turmeric', '1 (28 ounce) can diced tomatoes', '3 potatoes, peeled and diced', '1 cup frozen green peas', '1 teaspoon garam masala']","Heat olive oil in a large saucepan over medium-high heat. Cook and stir onion in the hot oil until soft and beginning to brown, about 12 minutes. If browned bits of onion are stuck to the bottom of the pan, stir water into onion and stir to loosen the browned bits.
Mix ground beef, garlic, ginger, serrano chile, and cilantro into pan; cook and stir until beef is browned and crumbly, 10 to 15 minutes. Reduce heat to medium-low. Stir coriander, salt, cumin, cayenne pepper, and turmeric into the beef; cook and stir until flavors blend, about 5 minutes. Add tomatoes and potatoes, cover pot, and simmer until potatoes are tender, about 15 minutes.
Mix green peas into dish and cook until sauce has slightly thickened and flavors have blended, 10 to 15 minutes. Sprinkle garam masala over the dish, cover, and let stand for 5 minutes before serving.
",https://images.media-allrecipes.com/userphotos/250x250/3902019.jpg
Roti Canai/Paratha (Indian Pancake),150,"['3/4 cup warm water', '1 teaspoon salt', '1 pinch white sugar', '4 3/4 cups all-purpose flour', '3 1/2 tablespoons clarified butter (ghee)', '1 egg', '1 teaspoon water', '2 tablespoons ghee (clarified butter), divided']","Mix warm water, salt, and sugar together in a bowl. Put flour in a large mixing bowl; work in 3 1/2 tablespoons ghee using your fingertips.
Beat egg and 1 teaspoon water together in a bowl; add to flour mixture. Gradually mix warm water mixture into flour mixture while kneading until dough becomes soft and pliable. Form dough into balls and let rest in a well-oiled bowl, 2 to 3 hours.
Working on a flat greased surface, take a dough ball and flatten it using the heel of your palm to make a paper-thin circle. Spread 1 teaspoon ghee inside it. Fold the edges together to make roti into a square. Repeat with remaining dough.
Heat about 1 tablespoon ghee on griddle or in a skillet over medium heat; cook roti until browned, 1 to 3 minutes per side.
",https://images.media-allrecipes.com/userphotos/250x250/3678414.jpg
Black Chana with Potato,0,"['1 cup dried black chickpeas (garbanzo beans)', '1 1/2 teaspoons salt, divided', '1/2 teaspoon baking soda', '1 quart water', '1 onion, chopped', '1 clove garlic, chopped, or more to taste', '1 (1 inch) piece chopped fresh ginger', '3 tablespoons water', '3 tablespoons vegetable oil', '1/4 teaspoon cumin seeds', '2 pinches asafoetida powder', '4 potatoes, peeled and quartered', '1 teaspoon ground coriander', '1 teaspoon garam masala', '1/4 teaspoon ground turmeric', '1/4 teaspoon cayenne pepper', '2 cups water', '3 tablespoons tamarind paste, or more to taste']","Sort and clean chickpeas and wash them under cold water; drain. Combine chickpeas, 1/2 teaspoon salt, and baking soda in a large bowl; add 1 quart water. Soak chickpeas for 24 hours; drain.
Combine onion, garlic, and ginger in a blender; add 3 tablespoons water. Blend mixture at high speed until a smooth paste forms.
Heat vegetable oil in a 4-quart pot over medium-high heat. Add cumin seeds and asafoetida; cook and stir until asafoetida expands and cumin seeds darken, about 1 minute. Stir onion paste into cumin mixture, taking great care to avoid splattering. Cook and stir mixture until well mixed and fragrant, about 5 minutes.
Stir chickpeas, potatoes, 1 teaspoon salt, coriander, garam masala, turmeric, and cayenne pepper into onion-cumin mixture; add 2 cups water. Bring liquid to a boil and cover pot; reduce heat and gently simmer for 1 hour. Stir tamarind paste into chickpea mixture; cook, stirring occasionally, for 10 minutes more.
",https://images.media-allrecipes.com/userphotos/250x250/3652766.jpg
Green Risotto with Fava Beans,60,"['1/2 pound fresh, unshelled fava beans', '4 cups chicken broth', '3 tablespoons butter, divided', '1 small onion, finely chopped', '1 cup Arborio rice', '1/4 cup white wine', '1/4 cup grated Reggiano Parmesan cheese', 'salt to taste']","Bring a large pot of salted water to a boil. Meanwhile, shell the favas and discard the pods. Boil the favas for 4 minutes, strain and then immediately plunge into ice water. Let cool for 2 minutes then pierce the favas and squeeze them out of their skins. Separate 3/4 of the favas and puree in a food processor.
In a separate large saucepan bring the broth to a simmer, and keep it hot. Meanwhile, in another large saucepan over medium heat, melt 1.5 tablespoons of the butter and add the onions. Reduce the heat to low and cook for about 5 minutes; do not brown the onions. Add the rice and cook, while stirring, for 2 minutes. Add the wine, increase the heat to medium, and stir constantly. When the wine has been absorbed, add a little of the hot stock. Once the stock is absorbed, add a little more; repeat this process, stirring constantly, until the rice is cooked through.
To the cooked rice add the pureed favas, the remaining 1.5 tablespoons of butter, the rest of the favas and the cheese. Cook over medium heat, stirring, until the butter and cheese melt and the puree is incorporated evenly. Season with salt.
",https://images.media-allrecipes.com/images/59033.jpg?width=420&height=237
Tomato Cucumber Kachumbar,25,"['1 cup halved grape tomatoes', '1 cup diced cucumber', '1/2 cup chopped green onions', '1/2 cup chopped fresh cilantro', '1 tablespoon fresh lemon juice', '1 tablespoon chopped fresh mint', 'salt and ground black pepper to taste']","Mix grape tomatoes, cucumber, green onions, cilantro, lemon juice, mint, salt, and pepper together in a large bowl.
",https://images.media-allrecipes.com/userphotos/250x250/4403730.jpg
Mushroom Chicken Piccata,50,"['1/2 cup all-purpose flour', '1 teaspoon salt', '1/2 teaspoon paprika', '1 egg', '2 tablespoons milk', '6 skinless, boneless chicken breast halves', '4 tablespoons butter', '1/2 pound fresh mushrooms, sliced', '1/4 cup chopped onion', '1 cup chicken broth', '1/2 cup white wine', '2 tablespoons lemon juice', '1 tablespoon cornstarch', '1 tablespoon chopped fresh parsley, for garnish']","In a shallow dish or bowl, mix together flour, salt and paprika. In a separate dish or bowl, mix together egg and milk. Dip chicken pieces in egg mixture, then in seasoned flour.
In a large skillet, heat butter or margarine over medium-high heat. Saute chicken pieces until golden brown. Add mushrooms and onion and saute for 3 to 5 minutes.
In a medium bowl combine the broth, wine, lemon juice and cornstarch. Mix together and pour mixture over chicken and mushrooms. Reduce heat to medium low and let chicken mixture simmer for 25 minutes or until chicken is cooked through and juices run clear. Sprinkle with parsley and serve.
",https://images.media-allrecipes.com/images/61400.jpg?width=170&height=96
Red Split Lentils (Masoor Dal),138,"['1 cup basmati rice', '7 1/2 cups water, divided', '1 cup red lentils (masoor dal), rinsed', '1/2 cup finely chopped red onion (optional)', '1 teaspoon ground cumin', '1 teaspoon ground coriander', '1 teaspoon salt, or to taste', '1/2 teaspoon ground black pepper (optional)', '1/2 teaspoon cayenne powder (optional)', '1/2 teaspoon ground turmeric', '1 cup broccoli florets (optional)', '1 cup diced tomatoes (optional)', '1 cup frozen peas (optional)', '1 tablespoon olive oil, or as needed', '1 cup sliced mushrooms (optional)', '1 tablespoon peeled, finely grated fresh ginger', '2 cloves garlic, finely grated']","Rinse rice in several changes of water and transfer to a container. Cover with water and let soak at room temperature, 15 minutes to 1 hour. Drain.
Combine 6 cups water with red lentils in a large pot over medium heat. Bring to a simmer, skimming any scum that collects on the surface. Stir in onion, cumin, coriander, salt, black pepper, cayenne, and turmeric. Reduce heat to low and simmer, partially covered, until lentils are tender, about 30 minutes.
Stir broccoli, tomatoes, peas, and salt into the pot. Continue cooking, stirring frequently, until lentils are soft, about 30 minutes more.
Combine drained rice with remaining 1 1/2 cup water in another pot; bring to a boil. Reduce heat to very low and simmer, covered with a tight-fitting lid, until rice is tender and liquid is absorbed, about 20 minutes.
Heat oil in a small skillet over medium heat. Add mushrooms, ginger, and garlic; cook and stir until fragrant, 3 to 5 minutes. Pour over lentils; stir to distribute. Cook lentils until flavors combine, about 5 minutes. Serve lentils with rice.
",https://images.media-allrecipes.com/userphotos/250x250/4043180.jpg
Coconut Chutney,25,"['1/2 fresh whole coconut, drained and grated', '1/2 cup plain yogurt', '1 tablespoon vegetable oil', '3 fresh red chili peppers, chopped', '1/2 teaspoon mustard seed', '1/4 teaspoon cumin seeds']","Place the coconut and yogurt in a blender or food processor. Process to a paste-like consistency. Transfer to a medium bowl.
Heat the oil in a medium saucepan over medium heat. Stir in chili peppers, mustard seed, and cumin seeds. Cook until mustard seeds start to pop. Spoon over the coconut mixture. Cover, and refrigerate until serving.
",https://images.media-allrecipes.com/userphotos/250x250/4551087.jpg
Emily's Famous Tiramisu,300,"['LADYFINGERS', '5 eggs, separated', '3/4 cup white sugar, divided', '1 cup all-purpose flour', '1 teaspoon vanilla extract', ""3/4 cup confectioners' sugar for dusting"", 'SYRUP', '1 cup white sugar', '1 cup boiling water', '1/2 cup strong brewed coffee', '1/4 cup rum', 'FILLING', '1 (8 ounce) container mascarpone cheese', ""2 cups confectioners' sugar"", '1/4 cup dark rum', '1 teaspoon vanilla extract', '2 cups heavy cream', 'TOPPING', '2 (1 ounce) squares semisweet chocolate, grated', ""1/8 cup confectioners' sugar for dusting""]","Preheat oven to 350 degrees F (175 degrees C). Line baking sheets with parchment paper.
In a medium bowl, whip egg yolks and 1/4 cup of sugar with an electric mixer until thick and pale. In a separate bowl, whip egg whites (with clean beaters) to soft peaks. Gradually sprinkle in the remaining 1/2 cup sugar while whipping to medium stiff peaks. Fold the egg yolk mixture into the egg whites. Gently fold in the flour and 1 teaspoon vanilla. The batter should be thick and pale yellow.
Trace two 9 inch circles onto the parchment paper using a cake pan as a guide. Spread or pipe batter to completely fill inside the lines of the circles. Batter should be about 1/2 inch tall.
Load the remaining batter into a pastry bag fitted with a half inch tip or hole. Draw parallel lines onto another piece of parchment that are 3 inches apart. Pipe the batter back and forth just between the lines in a compressed S motion, until you run out of batter. This is the part that wraps around the outside of the cake. (It helps to have it in one piece, but you can pipe individual fingers using the guidelines drawn on the paper, if you prefer.) There may be extra.
Bake in preheated oven 10 to 15 minutes, until firm but not browned. Remove from the oven and dust generously with confectioners' sugar. Set aside to cool.
To make the syrup, stir together 1 cup sugar, boiling water, coffee and 1/4 cup rum until sugar is dissolved. Set aside.
To make the filling, combine mascarpone, 2 cups confectioners' sugar, dark rum and 1 teaspoon vanilla in a large bowl. Whisk together until completely smooth, scraping the bottom of the bowl to remove any lumps. Gradually whisk in the heavy cream. Whip with an electric mixer until soft peaks form. Stop whipping when the mixture shows the first sign of graininess.
To assemble, line the sides of a 9-inch springform pan with parchment or waxed paper. Place one of the ladyfinger rounds in the bottom of the pan. Brush generously, but do not soak completely, with syrup. Place the 3-inch high ladyfinger strips around the inside edge of the pan, so that the sides are completely covered. Brush generously with syrup.
Spread half of the filling mixture over the first ladyfinger round in the pan. Place the remaining ladyfinger round on top of the filling. Soak the second ladyfinger round with syrup until it cannot take any more. Spread the remaining filling over that and smooth the top. Sprinkle with grated chocolate. Refrigerate at least 4 hours.
To serve, remove the sides of the pan and carefully remove the parchment or waxed paper from the outside of the cake. Dust with confectioners' sugar just before serving.
",https://images.media-allrecipes.com/images/74384.jpg?width=170&height=96
Tamarind Sauce Fish Curry,50,"['2 pounds white carp, cut into large chunks', '1 tablespoon vegetable oil', '1 tablespoon red chile powder', '1 tablespoon ground turmeric', '1 1/2 teaspoons salt', '1/4 cup tamarind pulp', '1 cup warm water', '1/4 cup oil', '1/2 teaspoon cumin seeds', '1 large onion, minced', '1 1/2 tablespoons garlic paste', '2 tablespoons red chile powder', '2 tablespoons ground coriander', '1 pinch salt to taste', '1 tablespoon chopped fresh coriander (cilantro), or to taste']","Place fish in a bowl; add 1 tablespoon vegetable oil, 1 tablespoon chile powder, turmeric, and 1 1/2 teaspoons salt and allow to marinate for about 10 minutes.
Place tamarind pulp in a bowl and pour warm water over it. Squeeze tamarind to extract juice.
Heat 1/4 cup oil in a skillet over medium heat; add cumin seeds and stir. Add onion to cumin; cook and stir until onion is translucent, 5 to 10 minutes. Add garlic paste and cook for 3 minutes. Add carp, cover the skillet, and cook for 5 minutes.
Mix tamarind juice into fish mixture; bring to a boil. Turn carp pieces; add 2 tablespoons red chile powder, coriander, and salt. Cook over low heat until sauce thickens and oil separates, about 10 minutes. Garnish with coriander leaves.
",https://images.media-allrecipes.com/userphotos/250x250/2655041.jpg
